Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
634,5.512,1.08,104.0,560.0
635,5.508,1.07,100.0,560.0
636,5.512,0.99,102.0,560.0
637,5.512,1.03,106.0,580.0
638,5.512,1.02,103.0,560.0
639,5.508,1.04,103.0,560.0
640,5.512,1.07,104.0,560.0
641,5.512,1.02,102.0,560.0
642,5.512,1.04,100.0,560.0
643,5.508,1.01,100.0,560.0
644,5.512,1.01,101.0,560.0
645,5.512,1.0,105.0,580.0
646,5.512,1.01,101.0,560.0
647,5.512,1.04,101.0,560.0
648,5.508,1.1,105.0,580.0
649,5.512,1.05,101.0,560.0
650,5.508,1.06,104.0,560.0
651,5.512,1.01,103.0,560.0
652,5.512,1.02,103.0,560.0
653,5.508,1.02,105.0,580.0
654,5.508,0.99,103.0,560.0
655,5.508,1.04,102.0,560.0
656,5.508,1.06,104.0,560.0
657,5.512,1.03,103.0,560.0
658,5.504,1.05,102.0,560.0
659,5.504,1.04,106.0,580.0
660,5.508,1.01,101.0,560.0
661,5.508,1.01,105.0,580.0
662,5.508,1.05,105.0,580.0
663,5.508,1.01,102.0,560.0
664,5.508,1.05,103.0,560.0
665,5.508,1.03,102.0,560.0
666,5.504,1.04,104.0,560.0
667,5.508,1.01,107.0,580.0
668,5.504,1.03,102.0,560.0
669,5.508,1.05,106.0,580.0
670,5.508,1.06,103.0,560.0
671,5.508,1.02,101.0,560.0
672,5.508,1.03,101.0,560.0
673,5.508,1.07,102.0,560.0
674,5.508,1.01,101.0,560.0
675,5.508,1.04,106.0,580.0
676,5.508,1.03,102.0,560.0
677,5.508,1.04,104.0,560.0
678,5.508,0.99,103.0,560.0
679,5.504,1.03,103.0,560.0
680,5.508,1.01,100.0,560.0
681,5.508,1.02,103.0,560.0
682,5.508,1.03,103.0,560.0
683,5.504,1.06,106.0,580.0
684,5.508,1.01,104.0,560.0
685,5.508,1.04,103.0,560.0
686,5.508,1.03,103.0,560.0
687,5.504,1.03,98.0,520.0
688,5.504,1.02,104.0,560.0
689,5.508,1.03,103.0,560.0
690,5.508,1.04,102.0,560.0
691,5.504,1.06,107.0,580.0
692,5.504,1.0,104.0,560.0
693,5.504,1.07,104.0,560.0
694,5.504,1.0,107.0,580.0
695,5.504,1.02,103.0,560.0
696,5.508,1.02,102.0,560.0
697,5.5,1.05,103.0,560.0
698,5.508,1.04,101.0,560.0
699,5.504,1.05,104.0,560.0
700,5.504,1.03,102.0,560.0
701,5.504,1.02,105.0,580.0
702,5.504,1.02,105.0,580.0
703,5.504,1.03,101.0,560.0
704,5.504,1.01,103.0,560.0
705,5.508,1.03,104.0,560.0
706,5.504,1.04,101.0,560.0
707,5.504,1.05,104.0,560.0
708,5.504,1.03,101.0,560.0
709,5.504,1.04,99.0,560.0
710,5.504,1.02,102.0,560.0
711,5.504,1.04,103.0,560.0
712,5.508,0.98,100.0,560.0
713,5.504,1.03,105.0,580.0
714,5.504,1.02,102.0,560.0
715,5.5,1.05,103.0,560.0
716,5.504,1.05,101.0,560.0
717,5.504,1.05,104.0,560.0
718,5.504,1.02,107.0,580.0
719,5.504,1.02,103.0,560.0
720,5.504,1.02,102.0,560.0
721,5.504,1.0,102.0,560.0
722,5.5,1.04,103.0,560.0
723,5.504,1.03,106.0,580.0
724,5.5,1.03,100.0,560.0
725,5.504,1.01,102.0,560.0
726,5.5,1.03,103.0,560.0
727,5.504,1.0,101.0,560.0
728,5.5,1.05,101.0,560.0
729,5.5,1.05,106.0,580.0
730,5.5,1.02,103.0,560.0
731,5.504,1.01,104.0,560.0
732,5.504,1.02,104.0,560.0
733,5.5,1.07,101.0,560.0
734,5.5,1.05,103.0,560.0
735,5.504,1.02,100.0,560.0
736,5.496,1.03,102.0,560.0
737,5.5,1.01,103.0,560.0
738,5.504,1.04,100.0,560.0
739,5.5,1.04,105.0,580.0
740,5.5,1.02,101.0,560.0
741,5.5,1.01,102.0,560.0
742,5.5,1.02,102.0,560.0
743,5.5,1.01,103.0,560.0
744,5.5,1.04,101.0,560.0
745,5.5,1.02,108.0,580.0
746,5.5,1.04,102.0,560.0
748,5.496,1.04,103.0,560.0
749,5.5,1.04,102.0,560.0
750,5.5,0.99,100.0,560.0
751,5.5,1.09,103.0,560.0
752,5.496,1.05,104.0,560.0
753,5.5,1.03,103.0,560.0
754,5.5,1.03,104.0,560.0
755,5.5,1.02,103.0,560.0
756,5.504,1.02,102.0,560.0
757,5.496,1.03,103.0,560.0
758,5.496,1.03,102.0,560.0
759,5.5,1.05,102.0,560.0
760,5.5,1.01,101.0,560.0
761,5.5,1.04,100.0,560.0
762,5.5,1.05,103.0,560.0
763,5.5,1.0,101.0,560.0
764,5.5,1.03,104.0,560.0
765,5.496,1.02,106.0,580.0
766,5.5,1.02,107.0,580.0
767,5.5,1.02,101.0,560.0
768,5.496,1.04,101.0,560.0
769,5.496,1.01,105.0,580.0
770,5.496,1.05,102.0,560.0
771,5.5,1.01,103.0,560.0
772,5.5,1.07,100.0,560.0
