Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
320.4824869632721,5.636,1.05,106.0,580.0
321.4892609119415,5.644,0.94,98.0,560.0
322.49577283859253,5.64,0.94,105.0,580.0
323.50076031684875,5.636,1.05,104.0,580.0
324.5072388648987,5.64,0.97,98.0,560.0
325.51164746284485,5.632,1.09,107.0,580.0
326.51812839508057,5.632,1.08,101.0,560.0
327.523090839386,5.636,1.07,95.0,520.0
328.52973318099976,5.632,1.05,110.0,620.0
329.53641963005066,5.636,1.04,109.0,620.0
330.5412755012512,5.636,0.93,94.0,520.0
331.5479257106781,5.636,1.09,109.0,620.0
332.55245876312256,5.632,1.08,103.0,580.0
333.5596978664398,5.64,0.94,92.0,520.0
334.56618762016296,5.632,1.04,109.0,620.0
335.5711030960083,5.636,1.06,107.0,580.0
336.57746863365173,5.64,0.93,92.0,520.0
337.5824601650238,5.632,1.07,107.0,580.0
338.5888693332672,5.636,0.97,93.0,520.0
339.5956509113312,5.64,0.94,93.0,520.0
340.59983921051025,5.632,1.09,107.0,580.0
341.60736751556396,5.636,0.94,95.0,520.0
342.6114573478699,5.636,0.94,94.0,520.0
343.6182119846344,5.636,1.01,104.0,580.0
344.62278628349304,5.636,0.95,95.0,520.0
345.62979340553284,5.636,0.96,92.0,520.0
346.6371581554413,5.632,1.09,105.0,580.0
347.640860080719,5.636,0.95,92.0,520.0
348.64806866645813,5.636,0.93,95.0,520.0
349.6523995399475,5.632,1.02,101.0,560.0
350.65926933288574,5.636,0.94,94.0,520.0
351.66343212127686,5.636,0.94,93.0,520.0
352.6706597805023,5.632,1.05,106.0,580.0
353.6773443222046,5.636,0.95,94.0,520.0
354.6818673610687,5.636,0.94,92.0,520.0
355.68869519233704,5.632,1.04,105.0,580.0
356.6934018135071,5.636,0.96,97.0,560.0
357.70025277137756,5.636,0.95,93.0,520.0
358.70657777786255,5.632,1.05,107.0,580.0
359.7109603881836,5.636,0.94,95.0,520.0
360.7185709476471,5.636,0.94,92.0,520.0
361.72267842292786,5.628,1.09,107.0,580.0
362.7292833328247,5.636,0.94,93.0,520.0
363.73364520072937,5.636,0.95,94.0,520.0
364.7410001754761,5.628,1.05,107.0,580.0
365.74765157699585,5.632,0.95,93.0,520.0
366.75266098976135,5.628,1.08,106.0,580.0
367.75868582725525,5.628,1.09,105.0,580.0
368.7632842063904,5.632,0.93,93.0,520.0
369.7706446647644,5.636,0.99,100.0,560.0
370.7777724266052,5.628,1.04,103.0,580.0
371.7812879085541,5.628,1.05,107.0,580.0
372.7891218662262,5.628,1.08,111.0,620.0
373.79322624206543,5.628,1.06,108.0,620.0
374.800466299057,5.628,0.93,94.0,520.0
375.8066964149475,5.624,1.03,107.0,580.0
376.8116476535797,5.628,1.04,108.0,620.0
377.8180584907532,5.636,0.95,91.0,520.0
378.8222975730896,5.628,1.05,107.0,580.0
379.82946610450745,5.632,1.04,90.0,500.0
380.834086894989,5.632,0.94,95.0,520.0
381.8412528038025,5.624,1.06,106.0,580.0
382.84773111343384,5.632,0.94,95.0,520.0
383.85182189941406,5.632,0.93,94.0,520.0
384.85946798324585,5.628,1.06,105.0,580.0
385.86380195617676,5.632,1.02,93.0,520.0
386.87047386169434,5.632,0.93,97.0,560.0
387.877637386322,5.628,1.07,103.0,580.0
388.8817870616913,5.628,0.93,98.0,560.0
389.8886308670044,5.632,0.95,94.0,520.0
390.89259338378906,5.628,1.06,108.0,620.0
391.89966559410095,5.632,0.96,94.0,520.0
392.9046080112457,5.632,0.94,94.0,520.0
393.9110691547394,5.624,1.08,106.0,580.0
394.9183235168457,5.632,0.96,92.0,520.0
395.9227514266968,5.628,0.97,96.0,560.0
396.92962551116943,5.624,1.05,107.0,580.0
397.93368268013,5.624,1.04,107.0,580.0
398.94033002853394,5.628,0.97,95.0,520.0
399.94732785224915,5.624,1.06,103.0,580.0
400.95170545578003,5.632,0.92,94.0,520.0
401.95886278152466,5.628,0.97,95.0,520.0
402.9634139537811,5.624,1.04,105.0,580.0
403.96980834007263,5.628,0.94,96.0,520.0
404.9746673107147,5.628,0.95,97.0,560.0
405.98136258125305,5.624,1.03,103.0,580.0
406.98796939849854,5.628,0.93,97.0,560.0
407.9927430152893,5.628,0.93,97.0,560.0
408.99917554855347,5.624,1.05,103.0,580.0
410.003986120224,5.628,0.95,99.0,560.0
411.01058769226074,5.632,0.94,95.0,520.0
412.0176296234131,5.624,1.06,104.0,580.0
413.02279138565063,5.628,0.95,95.0,520.0
414.02908754348755,5.624,1.07,105.0,580.0
415.0336449146271,5.624,1.05,106.0,580.0
416.0405607223511,5.632,0.94,92.0,520.0
417.04757618904114,5.628,0.94,104.0,580.0
418.05226039886475,5.62,1.1,108.0,620.0
419.0587890148163,5.628,1.0,93.0,520.0
420.06263732910156,5.624,1.09,107.0,580.0
421.07014417648315,5.624,1.04,106.0,580.0
422.0747482776642,5.628,0.93,98.0,560.0
423.0809020996094,5.62,1.04,110.0,620.0
424.08886432647705,5.624,0.94,92.0,520.0
425.09272289276123,5.628,0.97,94.0,520.0
426.0995101928711,5.624,1.05,108.0,620.0
427.10364532470703,5.62,1.06,94.0,520.0
428.1105115413666,5.624,1.03,97.0,560.0
429.11793088912964,5.62,1.09,107.0,580.0
430.1223247051239,5.628,0.94,95.0,520.0
431.12944078445435,5.624,0.94,93.0,520.0
432.13314723968506,5.62,1.06,107.0,580.0
433.14030933380127,5.624,0.94,93.0,520.0
434.144850730896,5.62,1.04,105.0,580.0
435.15159583091736,5.62,1.07,107.0,580.0
436.15858697891235,5.624,0.94,95.0,520.0
437.1625294685364,5.624,0.94,95.0,520.0
438.1694965362549,5.62,1.09,105.0,580.0
439.1743278503418,5.624,0.94,93.0,520.0
440.18156242370605,5.624,0.95,93.0,520.0
441.1876735687256,5.624,1.06,105.0,580.0
442.192453622818,5.624,0.95,96.0,520.0
443.19930505752563,5.624,0.94,91.0,520.0
444.203640460968,5.624,1.05,105.0,580.0
445.21049904823303,5.624,0.95,93.0,520.0
446.2151770591736,5.624,0.92,94.0,520.0
447.2220335006714,5.62,1.07,103.0,580.0
448.2287485599518,5.624,0.93,92.0,520.0
449.2337157726288,5.624,0.97,92.0,520.0
450.24064445495605,5.62,1.06,109.0,620.0
451.2443935871124,5.624,0.95,94.0,520.0
452.25186014175415,5.624,0.93,92.0,520.0
453.25853276252747,5.62,1.05,104.0,580.0
454.2630250453949,5.624,0.92,91.0,520.0
455.26948499679565,5.624,0.96,101.0,560.0
456.2739677429199,5.62,1.09,107.0,580.0
457.281631231308,5.624,0.92,93.0,520.0
458.28572487831116,5.62,0.95,99.0,560.0
