Time,Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
320.4990496635437,5.724,0.97,98.0,560.0
321.5062017440796,5.712,1.07,106.0,580.0
322.5115852355957,5.72,1.08,108.0,620.0
323.517333984375,5.724,0.98,98.0,560.0
324.5232238769531,5.72,1.1,106.0,580.0
325.52898359298706,5.724,0.97,97.0,560.0
326.5351724624634,5.72,0.98,96.0,560.0
327.5409286022186,5.716,1.09,108.0,620.0
328.5471558570862,5.72,0.97,97.0,560.0
329.5520353317261,5.724,0.96,98.0,560.0
330.5589656829834,5.716,1.07,109.0,620.0
331.56539940834045,5.724,0.97,95.0,560.0
332.5701937675476,5.72,0.97,98.0,560.0
333.5770103931427,5.72,1.06,107.0,620.0
334.5818464756012,5.724,0.99,99.0,560.0
335.5883219242096,5.72,0.96,111.0,620.0
336.59400153160095,5.716,1.09,108.0,620.0
337.6001114845276,5.72,0.98,97.0,560.0
338.60617852211,5.716,1.09,110.0,620.0
339.61125230789185,5.716,1.05,110.0,620.0
340.61822390556335,5.712,1.03,100.0,560.0
341.6239650249481,5.712,0.96,112.0,660.0
342.62918424606323,5.716,1.06,106.0,580.0
343.6353642940521,5.716,0.97,98.0,560.0
344.6409785747528,5.716,1.1,112.0,660.0
345.6477279663086,5.716,1.07,109.0,620.0
346.6533143520355,5.72,1.03,98.0,560.0
347.6589639186859,5.716,1.14,108.0,620.0
348.66569542884827,5.712,1.13,108.0,620.0
349.6709575653076,5.72,0.96,95.0,560.0
350.6771950721741,5.712,1.07,108.0,620.0
351.6824703216553,5.716,1.1,100.0,560.0
352.6884353160858,5.716,0.94,97.0,560.0
353.6944317817688,5.716,1.04,108.0,620.0
354.70035099983215,5.72,0.97,96.0,560.0
355.7063617706299,5.716,0.93,97.0,560.0
356.71154618263245,5.712,1.13,109.0,620.0
357.7178406715393,5.716,1.0,96.0,560.0
358.72411847114563,5.716,0.99,97.0,560.0
359.7280662059784,5.712,1.08,111.0,620.0
360.73550605773926,5.716,0.95,97.0,560.0
361.7411518096924,5.716,0.94,99.0,560.0
362.7473621368408,5.712,1.07,108.0,620.0
363.75433135032654,5.716,0.94,95.0,560.0
364.7588324546814,5.716,0.95,97.0,560.0
365.76564931869507,5.712,1.06,109.0,620.0
366.76916122436523,5.712,0.98,93.0,520.0
367.7775275707245,5.716,0.94,99.0,560.0
368.78193187713623,5.712,1.08,110.0,620.0
369.78848934173584,5.712,0.97,97.0,560.0
370.7953188419342,5.716,0.97,95.0,560.0
371.80035758018494,5.708,1.08,107.0,620.0
372.80694341659546,5.716,1.0,98.0,560.0
373.811509847641,5.716,0.95,97.0,560.0
374.8177673816681,5.712,1.12,105.0,580.0
375.8244206905365,5.712,0.97,98.0,560.0
376.83003330230713,5.712,0.98,109.0,620.0
377.8362181186676,5.708,1.08,110.0,620.0
378.8412096500397,5.712,0.94,97.0,560.0
379.84772753715515,5.712,1.07,113.0,660.0
380.85403752326965,5.708,1.09,110.0,620.0
381.8597023487091,5.712,0.97,98.0,560.0
382.86525297164917,5.704,1.08,110.0,620.0
383.8707957267761,5.708,1.06,111.0,620.0
384.87659525871277,5.708,1.05,106.0,580.0
385.8833158016205,5.708,1.1,110.0,620.0
386.8880090713501,5.712,1.11,97.0,560.0
387.89548993110657,5.712,0.95,95.0,560.0
388.9004342556,5.708,1.14,108.0,620.0
389.9062190055847,5.712,1.08,95.0,560.0
390.91326236724854,5.712,0.98,98.0,560.0
391.9174153804779,5.712,0.95,100.0,560.0
392.9249601364136,5.708,1.06,106.0,580.0
393.92984771728516,5.712,0.98,98.0,560.0
394.9357924461365,5.712,0.95,98.0,560.0
395.94140338897705,5.708,1.06,110.0,620.0
396.94803738594055,5.712,0.98,101.0,580.0
397.9537627696991,5.712,0.95,97.0,560.0
398.95948934555054,5.708,1.08,106.0,580.0
399.9657893180847,5.712,0.97,100.0,560.0
400.97144889831543,5.704,1.07,108.0,620.0
401.97714400291443,5.704,1.04,108.0,620.0
402.9834065437317,5.708,0.94,93.0,520.0
403.9877233505249,5.708,1.09,107.0,620.0
404.99507427215576,5.704,1.1,108.0,620.0
406.00043058395386,5.708,0.95,94.0,520.0
407.0075511932373,5.704,1.12,107.0,620.0
408.0132853984833,5.712,0.98,98.0,560.0
409.017005443573,5.712,0.97,94.0,520.0
410.0254108905792,5.7,1.08,108.0,620.0
411.030033826828,5.704,1.08,109.0,620.0
412.0362889766693,5.712,0.96,97.0,560.0
413.04247879981995,5.704,1.08,108.0,620.0
414.04730916023254,5.708,0.96,96.0,560.0
415.0543706417084,5.708,0.99,98.0,560.0
416.0630271434784,5.7,1.04,105.0,580.0
417.06530833244324,5.7,1.09,106.0,580.0
418.07219791412354,5.708,0.98,100.0,560.0
419.07736229896545,5.708,1.09,109.0,620.0
420.0843846797943,5.704,1.08,107.0,620.0
421.09233474731445,5.704,1.0,97.0,560.0
422.09540128707886,5.704,1.1,105.0,580.0
423.10243916511536,5.708,1.01,97.0,560.0
424.1072952747345,5.708,0.99,100.0,560.0
425.11328506469727,5.704,1.09,109.0,620.0
426.11926674842834,5.708,1.09,98.0,560.0
427.1251058578491,5.704,0.97,98.0,560.0
428.1312243938446,5.704,1.07,105.0,580.0
429.13732981681824,5.708,0.98,95.0,560.0
430.1431601047516,5.708,0.97,95.0,560.0
431.1483280658722,5.7,1.09,109.0,620.0
432.1543266773224,5.704,0.96,98.0,560.0
433.16033458709717,5.708,0.96,96.0,560.0
434.16646361351013,5.704,1.04,110.0,620.0
435.1723210811615,5.708,0.98,98.0,560.0
436.17782950401306,5.704,0.94,94.0,520.0
437.1843149662018,5.7,1.1,108.0,620.0
438.1892583370209,5.704,0.94,98.0,560.0
439.19528698921204,5.704,1.0,96.0,560.0
440.2021908760071,5.7,1.07,111.0,620.0
441.2072916030884,5.704,0.98,95.0,560.0
442.2137567996979,5.7,1.07,112.0,620.0
443.21908164024353,5.7,1.08,110.0,620.0
444.22528982162476,5.704,0.99,102.0,580.0
445.2311625480652,5.696,0.98,114.0,660.0
446.2372627258301,5.7,1.07,106.0,580.0
447.2434630393982,5.7,1.05,103.0,580.0
448.2491681575775,5.7,1.08,112.0,620.0
449.25504302978516,5.704,0.97,98.0,560.0
450.2610549926758,5.704,0.97,96.0,560.0
451.26612734794617,5.696,1.07,108.0,620.0
452.2732982635498,5.704,0.96,95.0,560.0
453.27813839912415,5.704,0.99,98.0,560.0
454.2841556072235,5.7,1.05,107.0,620.0
455.29104590415955,5.7,1.06,106.0,580.0
456.29614639282227,5.704,0.98,101.0,580.0
457.3021168708801,5.7,1.08,108.0,620.0
458.3070774078369,5.7,1.07,108.0,620.0
459.3142149448395,5.704,0.94,98.0,560.0
460.3202817440033,5.7,0.97,99.0,560.0
461.32601952552795,5.696,1.12,110.0,620.0
462.3315649032593,5.704,0.95,97.0,560.0
463.336314201355,5.696,1.15,108.0,620.0
464.3433132171631,5.696,1.1,110.0,620.0
465.3486568927765,5.704,1.04,96.0,560.0
466.3549120426178,5.696,1.12,109.0,620.0
467.36145663261414,5.696,1.06,108.0,620.0
